GDE_BFSNR,GDE_NAME_CH,BEZIRK_NAME,GDETYP25_CODE,GDETYP25_NAME,RAUMPLANREG_CODE,RAUMPLANREG_NAME
1,Aeugst am Albis,Bezirk Affoltern,237,Periurbane Dienstleistungsgemeinde geringer Dichte,105,Knonaueramt
2,Affoltern am Albis,Bezirk Affoltern,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,105,Knonaueramt
3,Bonstetten,Bezirk Affoltern,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,105,Knonaueramt
4,Hausen am Albis,Bezirk Affoltern,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,105,Knonaueramt
5,Hedingen,Bezirk Affoltern,113,Städtische Wohngemeinde einer grossen Agglomeration,105,Knonaueramt
6,Kappel am Albis,Bezirk Affoltern,237,Periurbane Dienstleistungsgemeinde geringer Dichte,105,Knonaueramt
7,Knonau,Bezirk Affoltern,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,105,Knonaueramt
8,Maschwanden,Bezirk Affoltern,235,Periurbane Agrargemeinde geringer Dichte,105,Knonaueramt
9,Mettmenstetten,Bezirk Affoltern,226,Periurbane Industriegemeinde mittlerer Dichte,105,Knonaueramt
10,Obfelden,Bezirk Affoltern,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,105,Knonaueramt
11,Ottenbach,Bezirk Affoltern,226,Periurbane Industriegemeinde mittlerer Dichte,105,Knonaueramt
12,Rifferswil,Bezirk Affoltern,236,Periurbane Industriegemeinde geringer Dichte,105,Knonaueramt
13,Stallikon,Bezirk Affoltern,217,Periurbane Dienstleistungsgemeinde hoher Dichte,105,Knonaueramt
14,Wettswil am Albis,Bezirk Affoltern,217,Periurbane Dienstleistungsgemeinde hoher Dichte,105,Knonaueramt
21,Adlikon,Bezirk Andelfingen,237,Periurbane Dienstleistungsgemeinde geringer Dichte,110,Weinland
22,Benken (ZH),Bezirk Andelfingen,235,Periurbane Agrargemeinde geringer Dichte,110,Weinland
23,Berg am Irchel,Bezirk Andelfingen,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,110,Weinland
24,Buch am Irchel,Bezirk Andelfingen,235,Periurbane Agrargemeinde geringer Dichte,110,Weinland
25,Dachsen,Bezirk Andelfingen,226,Periurbane Industriegemeinde mittlerer Dichte,110,Weinland
26,Dorf,Bezirk Andelfingen,237,Periurbane Dienstleistungsgemeinde geringer Dichte,110,Weinland
27,Feuerthalen,Bezirk Andelfingen,123,Städtische Wohngemeinde einer mittelgrossen Agglomeration,110,Weinland
28,Flaach,Bezirk Andelfingen,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,110,Weinland
29,Flurlingen,Bezirk Andelfingen,123,Städtische Wohngemeinde einer mittelgrossen Agglomeration,110,Weinland
30,Andelfingen,Bezirk Andelfingen,226,Periurbane Industriegemeinde mittlerer Dichte,110,Weinland
31,Henggart,Bezirk Andelfingen,226,Periurbane Industriegemeinde mittlerer Dichte,110,Weinland
32,Humlikon,Bezirk Andelfingen,237,Periurbane Dienstleistungsgemeinde geringer Dichte,110,Weinland
33,Kleinandelfingen,Bezirk Andelfingen,226,Periurbane Industriegemeinde mittlerer Dichte,110,Weinland
34,Laufen-Uhwiesen,Bezirk Andelfingen,226,Periurbane Industriegemeinde mittlerer Dichte,110,Weinland
35,Marthalen,Bezirk Andelfingen,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,110,Weinland
37,Ossingen,Bezirk Andelfingen,237,Periurbane Dienstleistungsgemeinde geringer Dichte,110,Weinland
38,Rheinau,Bezirk Andelfingen,237,Periurbane Dienstleistungsgemeinde geringer Dichte,110,Weinland
39,Thalheim an der Thur,Bezirk Andelfingen,236,Periurbane Industriegemeinde geringer Dichte,110,Weinland
40,Trüllikon,Bezirk Andelfingen,235,Periurbane Agrargemeinde geringer Dichte,110,Weinland
41,Truttikon,Bezirk Andelfingen,235,Periurbane Agrargemeinde geringer Dichte,110,Weinland
43,Volken,Bezirk Andelfingen,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,110,Weinland
51,Bachenbülach,Bezirk Bülach,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
52,Bassersdorf,Bezirk Bülach,113,Städtische Wohngemeinde einer grossen Agglomeration,102,Glattal
53,Bülach,Bezirk Bülach,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,111,Zürcher Unterland
54,Dietlikon,Bezirk Bülach,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,102,Glattal
55,Eglisau,Bezirk Bülach,226,Periurbane Industriegemeinde mittlerer Dichte,111,Zürcher Unterland
56,Embrach,Bezirk Bülach,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
57,Freienstein-Teufen,Bezirk Bülach,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
58,Glattfelden,Bezirk Bülach,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
59,Hochfelden,Bezirk Bülach,226,Periurbane Industriegemeinde mittlerer Dichte,111,Zürcher Unterland
60,Höri,Bezirk Bülach,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
61,Hüntwangen,Bezirk Bülach,237,Periurbane Dienstleistungsgemeinde geringer Dichte,111,Zürcher Unterland
62,Kloten,Bezirk Bülach,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,102,Glattal
63,Lufingen,Bezirk Bülach,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
64,Nürensdorf,Bezirk Bülach,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,102,Glattal
65,Oberembrach,Bezirk Bülach,237,Periurbane Dienstleistungsgemeinde geringer Dichte,111,Zürcher Unterland
66,Opfikon,Bezirk Bülach,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,102,Glattal
67,Rafz,Bezirk Bülach,226,Periurbane Industriegemeinde mittlerer Dichte,111,Zürcher Unterland
68,Rorbas,Bezirk Bülach,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
69,Wallisellen,Bezirk Bülach,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,102,Glattal
70,Wasterkingen,Bezirk Bülach,237,Periurbane Dienstleistungsgemeinde geringer Dichte,111,Zürcher Unterland
71,Wil (ZH),Bezirk Bülach,236,Periurbane Industriegemeinde geringer Dichte,111,Zürcher Unterland
72,Winkel,Bezirk Bülach,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
81,Bachs,Bezirk Dielsdorf,237,Periurbane Dienstleistungsgemeinde geringer Dichte,111,Zürcher Unterland
82,Boppelsen,Bezirk Dielsdorf,235,Periurbane Agrargemeinde geringer Dichte,103,Furttal
83,Buchs (ZH),Bezirk Dielsdorf,217,Periurbane Dienstleistungsgemeinde hoher Dichte,103,Furttal
84,Dällikon,Bezirk Dielsdorf,216,Periurbane Industriegemeinde hoher Dichte,103,Furttal
85,Dänikon,Bezirk Dielsdorf,226,Periurbane Industriegemeinde mittlerer Dichte,103,Furttal
86,Dielsdorf,Bezirk Dielsdorf,217,Periurbane Dienstleistungsgemeinde hoher Dichte,111,Zürcher Unterland
87,Hüttikon,Bezirk Dielsdorf,226,Periurbane Industriegemeinde mittlerer Dichte,103,Furttal
88,Neerach,Bezirk Dielsdorf,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
89,Niederglatt,Bezirk Dielsdorf,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
90,Niederhasli,Bezirk Dielsdorf,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
91,Niederweningen,Bezirk Dielsdorf,226,Periurbane Industriegemeinde mittlerer Dichte,111,Zürcher Unterland
92,Oberglatt,Bezirk Dielsdorf,113,Städtische Wohngemeinde einer grossen Agglomeration,111,Zürcher Unterland
93,Oberweningen,Bezirk Dielsdorf,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
94,Otelfingen,Bezirk Dielsdorf,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,103,Furttal
95,Regensberg,Bezirk Dielsdorf,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
96,Regensdorf,Bezirk Dielsdorf,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,103,Furttal
97,Rümlang,Bezirk Dielsdorf,216,Periurbane Industriegemeinde hoher Dichte,102,Glattal
98,Schleinikon,Bezirk Dielsdorf,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
99,Schöfflisdorf,Bezirk Dielsdorf,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
100,Stadel,Bezirk Dielsdorf,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,111,Zürcher Unterland
101,Steinmaur,Bezirk Dielsdorf,217,Periurbane Dienstleistungsgemeinde hoher Dichte,111,Zürcher Unterland
102,Weiach,Bezirk Dielsdorf,226,Periurbane Industriegemeinde mittlerer Dichte,111,Zürcher Unterland
111,Bäretswil,Bezirk Hinwil,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,108,Zürcher Oberland
112,Bubikon,Bezirk Hinwil,216,Periurbane Industriegemeinde hoher Dichte,108,Zürcher Oberland
113,Dürnten,Bezirk Hinwil,137,Städtische Dienstleistungsgemeinde einer kleinen oder ausserhalb einer Agglomeration,108,Zürcher Oberland
114,Fischenthal,Bezirk Hinwil,326,Ländliche zentral gelegene Industriegemeinde,108,Zürcher Oberland
115,Gossau (ZH),Bezirk Hinwil,216,Periurbane Industriegemeinde hoher Dichte,108,Zürcher Oberland
116,Grüningen,Bezirk Hinwil,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,108,Zürcher Oberland
